,xcoordinate,ycoordinate,Landmark,ScreenshotNo
1,281.8164808,263.7463822,isi nursery,1
2,281.8164808,263.7463822,isi nursery,1
3,278.8692045,266.6936584,isi nursery,1
4,275.9219283,266.6936584,isi nursery,1
5,278.8692045,266.6936584,isi nursery,1
6,281.8164808,266.6936584,isi nursery,1
7,104.979906,408.1629182,isi subway,1
8,281.8164808,260.7991059,isi nursery,1
9,281.8164808,260.7991059,isi nursery,1
10,275.9219283,260.7991059,isi nursery,1
11,278.8692045,263.7463822,isi nursery,1
12,281.8164808,263.7463822,isi nursery,1
13,104.979906,408.1629182,isi subway,1
14,110.8744585,411.1101945,isi subway,1
15,104.979906,411.1101945,isi subway,1
16,104.979906,408.1629182,isi subway,1
17,104.979906,414.0574707,isi subway,1
18,218.1791448,512.9163427,isi sub post office,1
19,218.1791448,514.6042758,isi sub post office,1
20,221.555011,514.6042758,isi sub post office,1
21,218.1791448,514.6042758,isi sub post office,1
22,219.8670779,512.9163427,isi sub post office,1
23,219.8670779,516.2922089,isi sub post office,1
24,466.3053067,678.333784,bon hoogly auto stand,1
25,469.6811729,680.0217171,bon hoogly auto stand,1
26,464.6173737,680.0217171,bon hoogly auto stand,1
27,464.6173737,680.0217171,bon hoogly auto stand,1
28,467.9932398,680.0217171,bon hoogly auto stand,1
29,466.3053067,680.0217171,bon hoogly auto stand,1
30,133.7824911,536.5474058,isi allahabad bank atm,1
31,137.1583573,539.9232719,isi allahabad bank atm,1
32,135.4704242,539.9232719,isi allahabad bank atm,1
33,133.7824911,539.9232719,isi allahabad bank atm,1
34,133.7824911,538.2353389,isi allahabad bank atm,1
35,135.4704242,538.2353389,isi allahabad bank atm,1
36,702.6159371,695.2131148,milan bar and restaurant,1
37,700.9280041,695.2131148,milan bar and restaurant,1
38,702.6159371,693.5251817,milan bar and restaurant,1
39,700.9280041,693.5251817,milan bar and restaurant,1
40,704.3038702,695.2131148,milan bar and restaurant,1
41,756.6297955,782.9856346,maa kali temple,1
42,756.6297955,782.9856346,maa kali temple,1
43,754.9418624,782.9856346,maa kali temple,1
44,756.6297955,781.2977015,maa kali temple,1
45,751.5659963,788.0494338,maa kali temple,1
46,756.6297955,784.6735677,maa kali temple,1
47,783.6367247,411.6403583,niranjan garage,1
48,781.9487916,411.6403583,niranjan garage,1
49,783.6367247,411.6403583,niranjan garage,1
50,780.2608585,415.0162244,niranjan garage,1
51,783.6367247,415.0162244,niranjan garage,1
52,780.2608585,413.3282914,niranjan garage,1
53,920.3593037,475.7818151,bedi diesel service center,1
54,920.3593037,477.4697482,bedi diesel service center,1
55,922.0472368,477.4697482,bedi diesel service center,1
56,922.0472368,480.8456143,bedi diesel service center,1
57,918.6713706,479.1576813,bedi diesel service center,1
58,851.1540477,315.4281731,bon hoogly auto stand,2
59,849.4661146,313.74024,bon hoogly auto stand,2
60,852.8419807,313.74024,bon hoogly auto stand,2
61,852.8419807,317.1161061,bon hoogly auto stand,2
